1,23.696088049389527
2,23.694597351694185
3,23.696042614131603
4,23.696685852143414
5,23.69591864953231
6,23.695930503737202
7,23.696342333905918
8,23.695914312844522
9,23.696375015286886
10,23.696460946000947
11,23.695814916821114
12,23.696640351232542
13,23.69708056329561
14,23.696905500428493
15,23.696302221243737
16,23.696747822339233
17,23.696044823587254
18,23.695703294932116
19,23.696697197662267
20,23.69560617226723
21,23.695727539583487
22,23.69694328177969
23,23.697005921525754
24,23.69630010031325
25,23.696506278074434
26,23.69551876283433
27,23.69731586310361
28,23.69661635390697
29,23.696881921710695
30,23.696425469495992
31,23.69723477411981
32,23.695350624446657
33,23.697209202492697
34,23.69635652604753
35,23.696429253258188
36,23.6965603040382
37,23.69825596714075
38,23.69747324205552
39,23.696215097555477
40,23.69731549679018
41,23.69600739073475
42,23.697395107648344
43,23.697494266252733
44,23.696832867386853
45,23.696566872600677
46,23.697558732101058
47,23.697752010930202
48,23.696946473928687
49,23.697166366197386
50,23.697163406557774
Best epoch: model_37 with PSNR 23.69825596714075
